Reporting Period	ID RSSD	UBPR3210	UBPR4340	UBPR7316	UBPR7402	UBPR7408	UBPR7414	UBPRD486	UBPRD659	UBPRE001	UBPRE002	UBPRE003	UBPRE004	UBPRE005	UBPRE006	UBPRE007	UBPRE008	UBPRE009	UBPRE010	UBPRE011	UBPRE012	UBPRE013	UBPRE014	UBPRE015	UBPRE016	UBPRE017	UBPRE018	UBPRE019	UBPRE020	UBPRE021	UBPRE022	UBPRE023	UBPRE024	UBPRE025	UBPRE026	UBPRE027	UBPRE028	UBPRE029	UBPRE541	UBPRE542	UBPRJ248	UBPRK447	
		TOTAL EQUITY CAPITAL	NET INCOME	SURVEILLANCE MODEL ASSET GROWTH RATE	TOTAL DIVIDENDS AS PERCENT OF NET IN	ANNUAL CHANGE IN TIER 1 CAPITAL	NONCURRENT ASSETS AS PERCENT OF TOTL	RBC_T1_TOT_AA	ASET_QAVG_CYA	INC_AA	INT_EXP_AA	INT_INC_NET_AA	INC_NONINT_AA	OVHD_EXP_AA	PROV_LNLS_ATTR_AA	INC_PTAX_OP_AA	SEC_GN_AA	INC_PTAX_NET_OP_AA	INC_NET_OP_AA	INC_BEI_AA	INC_NET_SUBS_AA	INC_NET_AA	EA_AVG_AA	LIAB_IB_AA	INT_INC_EA	INT_EXP_EA	INT_INC_NET_EA	NET_LNLS_AVG_CYB	NOI_LNLS_CHGFF_CYB	LNLS_LOS_NET	LNLS_LOS_NHFS	LNLS_LOS_TOT	LNLS_ASET_TOT	NI_DIVD_ECAP_CYB	LNLS_NINV_ORE_CAP	LNLS_NET_GY	INV_TEMP_GY	NCORE_FND_LT1_GY	LNLS_TOT_PD_90_GRS	LNLS_TOT_NACCR	INCNET_NONCON_AA	NCORE DPDNCY INS LIMIT TIME DEP	
6/30/2016 11:59:59 PM	709358	12546.0000	364.0000	-1.0717	0.0000	2.2453	0.1682	9.7300	129640.0000	4.4169	1.0599	3.3570	0.3193	3.0747	0.0000	0.6017	-0.0108	0.5909	0.5616	0.5384	0.5616	0.5616	97.3835	79.8901	4.5356	1.0883	3.4472	0.0282	24.8000	48.5000	1.3669	1.3669	80.9515	5.9173	4.3997	12.5162	-19.1597	681.4087	0.0000	0.1682	0.0000	21.4669	
6/30/2016 11:59:59 PM	709451	12688.0000	712.0000	-2.3140	60.8146	4.6116	0.3174	9.5100	130484.0000	3.2155	0.3602	2.8553	0.4307	2.1045	0.0000	1.1815	0.0061	1.1877	1.0913	1.0944	0.7839	1.0913	96.4818	79.1381	3.3327	0.3733	2.9594	-0.0053			0.6820	0.6820	61.6179	4.4872	2.4682	7.3250	-20.7920		0.0485	0.2689	0.0000	-19.0471	
6/30/2016 11:59:59 PM	709554	18907.0000	1833.0000	1.3522	68.1942	6.3649	2.5768	9.4000	195043.5000	3.2910	0.1169	3.1741	0.3743	1.5822	0.1538	1.8124	0.1179	1.9303	1.8796	2.0313	1.2740	1.8796	93.3241	47.7437	3.5264	0.1253	3.4012	0.0048	934.0000	350.0000	1.6818	1.6818	42.9200	6.3892	14.7191	12.4064	-0.4295	39.3334	0.0481	2.5287	0.0000	-21.2410	
6/30/2016 11:59:59 PM	709602	131389.0000	5128.0000	12.4474	0.0000	8.2611	0.2738	7.9100	1586789.0000	2.9755	0.2594	2.7161	0.7288	2.4211	0.0468	0.9770	0.0054	0.9824	0.6463	0.6821	0.6463	0.6463	97.5974	86.0809	3.0487	0.2658	2.7829	0.0164	92.5977	58.8966	0.9395	0.9379	62.9295	8.0559	6.0034	3.1814	79.7780	79.9409	0.0000	0.2738	0.0000	-10.5400	
6/30/2016 11:59:59 PM	709639	48819.0000	1550.0000	6.3327	22.2581	5.1655	0.8347	12.3000	374328.0000	3.6595	0.5530	3.1065	0.5289	2.5486	0.0214	1.0655	0.2372	1.3027	0.8282	0.8805	0.8282	0.8282	92.7661	73.6879	3.9448	0.5961	3.3487	-0.0828			1.7770	1.7770	37.2910	5.0628	0.8697	6.1279	71.7398	30.5326	0.6079	0.2268	0.0000	0.9866	
6/30/2016 11:59:59 PM	709956	8508.0000	471.0000	4.4654	0.0000	11.7387	0.9600	8.4800	97613.0000	5.0133	0.8155	4.1978	0.7356	3.0693	0.3278	1.5363	0.0000	1.5363	0.9650	0.9855	0.9650	0.9650	94.9652	91.2028	5.2791	0.8587	4.4204	0.4241	5.7667	2.9433	1.2339	1.2339	70.7673	11.4191	10.0202	9.8904	54.6418	69.3458	0.1132	0.8469	0.0000	13.9755	
6/30/2016 11:59:59 PM	710176	18931.0000	1098.0000	12.2728	54.6448	6.0123	0.7036	10.4500	176357.5000	4.5450	0.6736	3.8714	0.3414	2.8136	0.1134	1.2857	0.0068	1.2925	1.2452	1.4108	0.8531	1.2452	96.6250	76.4688	4.7038	0.6972	4.0066	-0.0697			1.5198	1.5198	72.0510	5.3616	9.6561	0.2861	226.4739	112.6487	0.0000	0.7036	0.0000	-4.0255	
6/30/2016 11:59:59 PM	710859	37074.0000	2104.0000	7.3375	66.1122	6.3246	0.0131	10.3400	353207.0000	3.2243	0.5141	2.7102	0.2905	1.7151	0.1132	1.1723	0.0430	1.2153	1.1914	1.2990	0.8021	1.1914	93.2406	68.0691	3.4581	0.5514	2.9066	0.0114	222.8000	85.7000	0.8660	0.8660	53.3366	3.9741	0.0670	37.2260	-62.7432	28.4218	0.0000	0.0131	0.0000	18.9629	
6/30/2016 11:59:59 PM	711472	119580.0000	6629.0000	13.3824	27.8926	11.2313	1.4825	7.1100	1641534.5000	4.6189	0.1144	4.5045	2.1379	5.1789	0.2839	1.1796	0.0158	1.1954	0.8077	1.0259	0.8077	0.8077	95.4230	64.9002	4.8405	0.1199	4.7206	0.0974	21.0853	14.7950	1.3769	1.3769	66.3448	8.2472	13.1706	11.8740	30.9064	-29.3117	0.1168	1.3657	0.0000	30.1222	
6/30/2016 11:59:59 PM	711520	10899.0000	187.0000	0.0812	92.5134	2.3101	2.5985	9.6200	111004.0000	4.2221	0.2144	4.0077	0.4522	3.8863	0.0360	0.5376	0.0018	0.5394	0.3369	0.2036	0.3369	0.3369	89.3053	62.5541	4.7277	0.2401	4.4877	0.3465	3.0745	3.7926	1.3029	1.3029	50.3444	0.2595	23.1743	-3.9138	9.7540	-76.0617	0.0000	2.5985	0.0000	-13.9148	
